seed,profiles,p95_response_round_robin,p95_response_adaptive,p95_response_difference,weighted_score_round_robin,weighted_score_adaptive,weighted_score_difference,transition_p99_ms,accepted_switches,held_decisions,dwell_blocked_decisions,low_confidence_decisions,mean_confidence,score_fcfs,score_sjf,score_round_robin,score_priority,score_priority_rr
2026000238,mixed/interactive/io_intensive,53.5,53.5,0.0,0.20256364765368584,0.20256364765368584,0.0,0.13432804,1,104,0,104,0.46362877322284457,0.4320091687678904,0.09563811326707684,0.20256364765368584,0.3894037075653939,0.7795787979176526
2026000239,mixed/cpu_intensive/io_intensive,52.9,52.9,0.0,0.2080083857442348,0.2080083857442348,0.0,0.132125,1,126,0,126,0.49976296990649083,0.38355668992849146,0.13835616438356163,0.2080083857442348,0.43226908373412265,0.7686986301369862
2026000240,interactive/batch/cpu_intensive,51.55,51.55,0.0,0.19173370025402198,0.19173370025402198,0.0,0.16088604000000006,0,120,0,120,0.45985702621144003,0.3323800772233989,0.14863742107012295,0.19173370025402198,0.4310965283657917,0.7706463941508808
2026000241,batch/mixed/interactive,57.699999999999996,57.699999999999996,0.0,0.20951353295566946,0.20951353295566946,0.0,0.149544,1,108,0,108,0.4756911789806899,0.42173965651037404,0.12888461538461538,0.20951353295566946,0.4057324438876518,0.7733461538461539
2026000242,mixed/cpu_intensive/batch,50.099999999999994,50.099999999999994,0.0,0.20954463596604067,0.20954463596604067,0.0,0.15313856000000003,1,132,0,132,0.46047409820250734,0.3625558528590789,0.1456945749597058,0.20954463596604067,0.4387912535009491,0.7665525824517735
2026000243,interactive/batch/mixed,55.699999999999996,55.699999999999996,0.0,0.19697422116054547,0.1968746889618792,-9.95321986662634e-05,0.13955771,1,103,0,103,0.474828636998655,0.3595577398532309,0.1386582653817643,0.19697422116054547,0.4714165956580838,0.771830985915493
2026000244,interactive/cpu_intensive/batch,49.64999999999999,49.64999999999999,0.0,0.19599130188144084,0.19599130188144084,0.0,0.13266474,1,122,0,122,0.4720444480623151,0.39364409468979233,0.16120196238757153,0.19599130188144084,0.39619903548537655,0.7691332788225675
2026000245,cpu_intensive/mixed/io_intensive,53.9,53.9,0.0,0.22318511152152296,0.22318511152152296,0.0,0.1370213,1,130,0,130,0.49650346125449624,0.46048574722380153,0.15458015267175573,0.22318511152152296,0.34704641929119096,0.7709563589226559
2026000246,mixed/interactive/batch,54.749999999999986,54.749999999999986,0.0,0.19909941726999825,0.19909941726999825,0.0,0.13631176,1,103,0,103,0.4948477797670694,0.28752680774636374,0.1311895910780669,0.19909941726999825,0.3789130708325381,0.7717100371747212
2026000247,interactive/cpu_intensive/batch,49.749999999999986,49.749999999999986,0.0,0.1995339970345266,0.1995339970345266,0.0,0.133375,1,111,0,111,0.4777358412852318,0.3524483613366577,0.15525055584060202,0.1995339970345266,0.40595212878627407,0.7701385325808107
