seed,profiles,p95_response_round_robin,p95_response_adaptive,p95_response_difference,weighted_score_round_robin,weighted_score_adaptive,weighted_score_difference,transition_p99_ms,accepted_switches,held_decisions,dwell_blocked_decisions,low_confidence_decisions,mean_confidence,score_fcfs,score_sjf,score_srtf,score_round_robin,score_priority,score_priority_rr
2026000279,cpu_intensive/batch/interactive,52.099999999999994,91.55,39.45,0.23696682464454977,0.03786884891583581,-0.19909797572871396,0.18258732000000003,2,26,1,2,0.8000272813840176,0.44864136920834363,0.1575278693272373,0.18400569039022788,0.23696682464454977,0.4065462085308057,0.7656421514818881
2026000280,batch/io_intensive/cpu_intensive,48.0,398.9,350.9,0.22117133503092037,0.10792636250577298,-0.1132449725251474,0.213667,2,24,2,3,0.8397598148482592,0.3507911477966572,0.15559254896172456,0.16574206546571862,0.22117133503092037,0.38470035166347144,0.7716294458229942
2026000281,mixed/interactive/batch,52.349999999999994,342.8499999999999,290.4999999999999,0.220697655812465,0.11196013041943323,-0.10873752539303178,0.25461425,2,24,2,2,0.8072819396677916,0.3784390832750353,0.14613104287017328,0.17300710295802074,0.220697655812465,0.4282860936617044,0.7739054423837033
2026000282,mixed/cpu_intensive/interactive,54.9,120.9,66.0,0.21545519971212668,0.040394829939243315,-0.17506036977288336,0.184927,2,24,2,3,0.8068325023682931,0.3841855882979759,0.13207742113238738,0.13130113299810572,0.21545519971212668,0.4478748883860608,0.76718556274969
2026000283,mixed/io_intensive/cpu_intensive,46.349999999999994,46.349999999999994,0.0,0.22157859331788624,0.047902655939502665,-0.17367593737838358,0.2260433200000001,2,28,2,5,0.8008808750400105,0.43141798405530707,0.16178462443009564,0.18763103326552105,0.22157859331788624,0.41012706258312104,0.7694015725101921
2026000284,interactive/io_intensive/cpu_intensive,43.9,272.75,228.85,0.1896908639249241,0.15812162321958362,-0.03156924070534048,0.18551049999999997,2,16,1,4,0.8226363783098373,0.3889596978780973,0.17570230364873216,0.17386057878349193,0.1896908639249241,0.45788226698474865,0.7915893630179345
2026000285,batch/cpu_intensive/mixed,52.099999999999994,52.099999999999994,0.0,0.23054320801627365,0.09168989678294281,-0.13885331123333083,0.23402509999999999,2,29,2,9,0.7830078961865703,0.37666725205469576,0.157202304737516,0.1789600018092454,0.23054320801627365,0.39402148016094835,0.7658130601792574
2026000286,batch/mixed/cpu_intensive,50.64999999999999,50.64999999999999,0.0,0.2277792063083912,0.09777121643766334,-0.13000798987072787,0.16043775,2,24,1,8,0.7826245710464023,0.33219596610630575,0.17648575612394013,0.19807902257892793,0.2277792063083912,0.3564541013113911,0.7708269407793802
2026000287,batch/cpu_intensive/io_intensive,51.099999999999994,134.09999999999994,82.99999999999994,0.2304256437204414,0.060598546623277724,-0.16982709709716365,0.2468124999999999,2,25,2,5,0.7749177128701671,0.3710749191713071,0.1430301609626504,0.158275990969096,0.2304256437204414,0.41450795440803345,0.7700031254883575
2026000288,batch/mixed/io_intensive,55.699999999999996,229.1,173.4,0.23207070707070704,0.09206490917093028,-0.14000579789977674,0.30238782,2,22,2,2,0.8036545269468216,0.4044765700936069,0.17113638475678516,0.15434583026146187,0.23207070707070704,0.369560303408618,0.7791681834728795
2026000289,io_intensive/cpu_intensive/interactive,49.9,108.35,58.449999999999996,0.21702151009657594,0.05264923858098736,-0.16437227151558859,0.24745797999999986,1,19,1,3,0.7887109985568688,0.42756046696427014,0.12742666091458155,0.15972654399238176,0.21702151009657594,0.41975883970032907,0.7785267471958586
2026000290,interactive/cpu_intensive/batch,40.099999999999994,40.099999999999994,0.0,0.21458742632612965,0.05707269155206289,-0.15751473477406674,0.23074199999999984,2,25,1,6,0.7815156298711011,0.33382386972170736,0.15198977145596934,0.18119402928837583,0.21458742632612965,0.41511077240497096,0.7712561930637686
2026000291,batch/cpu_intensive/io_intensive,52.099999999999994,167.54999999999995,115.44999999999996,0.23849321705426355,0.07218457325772397,-0.1663086437965396,0.21075443000000005,2,26,2,3,0.849439412178212,0.37602979546961773,0.16350302972217992,0.185665865084783,0.23849321705426355,0.39739072385928376,0.7702724231320695
2026000292,mixed/io_intensive/interactive,56.25,212.5,156.25,0.22795026789394143,0.08158284418464003,-0.1463674237093014,0.30854683999999977,2,23,2,2,0.8300720922439443,0.37856243014859703,0.15245032204349054,0.15935139943797547,0.22795026789394143,0.35635227471924236,0.7753182663424403
2026000293,mixed/batch/io_intensive,56.699999999999996,171.0499999999998,114.34999999999982,0.22734375,0.05936959965437791,-0.1679741503456221,0.20988383999999988,2,23,2,0,0.8328962323821799,0.3503430881114853,0.1790329648809799,0.20404624357497342,0.22734375,0.3653102130694592,0.7754785537043601
2026000294,io_intensive/mixed/cpu_intensive,50.9,400.94999999999993,350.04999999999995,0.21458386574665644,0.14138300515370372,-0.07320086059295272,0.17564232000000002,2,26,2,3,0.8190068865162249,0.3519106223170234,0.18971833319200204,0.2183583540652387,0.21458386574665644,0.40445093840245583,0.7771360469380271
2026000295,batch/cpu_intensive/io_intensive,50.099999999999994,103.94999999999986,53.849999999999866,0.23041637261820747,0.0394681953413052,-0.19094817727690228,0.2535425,2,26,2,3,0.8035401858939311,0.43000872716498617,0.15332502725432176,0.15617772548987713,0.23041637261820747,0.3979068021376335,0.7691169599750818
2026000296,io_intensive/mixed/interactive,53.75,226.5,172.75,0.1979713362939039,0.10895166965397272,-0.08901966663993117,0.19252321999999994,1,17,1,1,0.7859000627119931,0.25606314486014126,0.1782224991724154,0.1949159072232238,0.1979713362939039,0.34466507771339827,0.789687833511206
2026000297,cpu_intensive/interactive/mixed,47.9,382.7,334.8,0.22741626794258374,0.11835377569447372,-0.10906249224811002,0.22962016,2,23,1,4,0.8024280063036696,0.49206392021702566,0.1595375964249902,0.159000923826459,0.22741626794258374,0.3826362596213855,0.7756235208447115
2026000298,interactive/batch/io_intensive,49.699999999999996,182.7,133.0,0.2076528475711893,0.07592564018374223,-0.13172720738744706,0.18796049999999997,2,20,2,2,0.8152986421272554,0.33829641183658044,0.1885847089833066,0.17991992710496654,0.2076528475711893,0.4009150920806081,0.7874752229930624
2026000299,cpu_intensive/mixed/io_intensive,51.9,144.59999999999997,92.69999999999996,0.22594642613092797,0.035964521283946546,-0.1899819048469814,0.16782695999999997,2,27,0,5,0.750796813802624,0.3960079343810198,0.13360335195530726,0.14199287951911177,0.22594642613092797,0.42740368878529017,0.7656145251396649
2026000300,io_intensive/mixed/cpu_intensive,50.349999999999994,331.09999999999997,280.75,0.21184158415841584,0.10498124815297373,-0.1068603360054421,0.20810425,2,24,2,4,0.8054281589828176,0.33609672377036837,0.19940867279894875,0.20194787250453972,0.21184158415841584,0.3836409946079353,0.7704617983855828
2026000301,cpu_intensive/batch/io_intensive,51.55,146.39999999999992,94.84999999999992,0.23941761363636363,0.051051188778933235,-0.18836642485743038,0.18233023999999998,2,27,2,3,0.7895477467656925,0.38563353495750874,0.18596248462484624,0.1885629822207313,0.23941761363636363,0.35682221764784444,0.7694495694956949
2026000302,mixed/cpu_intensive/interactive,51.45,93.39999999999999,41.94999999999999,0.22734325088984209,0.04135332531182977,-0.1859899255780123,0.2195725,2,24,2,3,0.7876926397799263,0.4944008128824275,0.1293891293891294,0.14570705351332652,0.22734325088984209,0.4883830550869004,0.7687991021324354
2026000303,io_intensive/interactive/mixed,57.5,261.5,204.0,0.20372658019353512,0.11650755410536126,-0.08721902608817386,0.2032024999999999,1,17,2,1,0.8027005366441039,0.2736183232406629,0.1559803429282825,0.16415424493647604,0.20372658019353512,0.3635989293802758,0.7874600274097762
2026000304,io_intensive/interactive/mixed,55.5,384.25,328.75,0.21343720409744343,0.12250620337049406,-0.09093100072694937,0.18566483999999991,2,23,2,2,0.8392697173817792,0.39422923744336746,0.13279893818624772,0.160120132622343,0.21343720409744343,0.4904796036951163,0.7744902482269503
2026000305,cpu_intensive/io_intensive/interactive,48.349999999999994,151.14999999999998,102.79999999999998,0.22349261689909763,0.07320707059524438,-0.15028554630385327,0.2041667299999999,2,18,2,1,0.8360019115511221,0.3913062635766215,0.12179792516517653,0.10964829441738196,0.22349261689909763,0.4075438588595925,0.7786627335299902
2026000306,io_intensive/mixed/interactive,52.25,140.0,87.75,0.21813466947960622,0.07220521065907642,-0.1459294588205298,0.22571348,2,21,2,3,0.8427344576837971,0.4357019819258476,0.16262038523274477,0.17579418696791757,0.21813466947960622,0.3667809423347398,0.7849618780096308
2026000307,interactive/io_intensive/batch,49.05,351.34999999999997,302.29999999999995,0.2070743297767417,0.1706997519531476,-0.0363745778235941,0.17894872,2,21,2,0,0.807934136750957,0.29772144652338467,0.20977095027132395,0.21433849145076522,0.2070743297767417,0.33903910041593427,0.787887619491723
2026000308,cpu_intensive/io_intensive/mixed,55.9,318.15,262.25,0.22597273029597603,0.0853387791735056,-0.14063395112247043,0.22472925,2,24,2,3,0.8251597798019398,0.42820057967394026,0.14534293232127055,0.10640446596225404,0.22597273029597603,0.4378489195864255,0.7706941620679639
