profile,seed,oracle,selected,correct,regret,inference_ms,score_fcfs,score_sjf,score_srtf,score_round_robin,score_priority,score_priority_rr,max_wait_fcfs,max_wait_sjf,max_wait_srtf,max_wait_round_robin,max_wait_priority,max_wait_priority_rr,switch_time_fcfs,switch_time_sjf,switch_time_srtf,switch_time_round_robin,switch_time_priority,switch_time_priority_rr
batch,20261000085,Round Robin,Round Robin,1,0.0,0.09879099525278434,0.23714387144181492,0.21255077473864464,0.2244918576302226,0.14295370057451845,0.29731328151402503,0.755861365953109,220,222,237,218,220,468,0,0,0,0,0,248
batch,20261000086,Round Robin,Round Robin,1,0.0,0.06387499888660386,0.2504057681007512,0.18543046357615897,0.22577258791672788,0.14868105515587535,0.2996402877697842,0.7619205298013245,165,148,150,148,175,329,0,0,0,0,0,173
batch,20261000087,Round Robin,Round Robin,1,0.0,0.06150000263005495,0.23108409244764314,0.17318641218165493,0.1687785846266558,0.13811795316565478,0.32784041630529054,0.7523291925465838,206,196,193,193,222,416,0,0,0,0,0,219
batch,20261000088,Round Robin,Round Robin,1,0.0,0.06104199565015733,0.2595438572189489,0.19368340943683407,0.2216856946936086,0.1505958829902492,0.295774647887324,0.7579908675799087,155,157,159,155,158,332,0,0,0,0,0,173
batch,20261000089,Round Robin,Round Robin,1,0.0,0.06616699829464778,0.22404468218524412,0.21679670794730074,0.2506914280761858,0.14251893939393936,0.2843276515151515,0.7621130551816958,161,167,174,162,172,350,0,0,0,0,0,181
batch,20261000090,Round Robin,Round Robin,1,0.0,0.09533299453323707,0.23053840877914952,0.20541838134430726,0.15710121497158536,0.14074248120300753,0.28872426755297537,0.7520576131687242,181,170,170,170,179,371,0,0,0,0,0,194
batch,20261000091,Round Robin,Round Robin,1,0.0,0.06699999357806519,0.2397644679770232,0.19273569814200597,0.2002912511856086,0.13552704963747905,0.30840391317277505,0.7571656050955414,128,131,146,129,142,292,0,0,0,0,0,155
batch,20261000092,Round Robin,Round Robin,1,0.0,0.06312500045169145,0.22410262133417588,0.18326197591916754,0.20553592461719672,0.1316652994257588,0.29860541427399506,0.7555948174322733,173,174,188,173,191,392,0,0,0,0,0,209
batch,20261000093,Round Robin,Round Robin,1,0.0,0.06283399852691218,0.2543406120744412,0.22311452513966484,0.2018602055934869,0.14555960948870428,0.2672336615935542,0.75,173,176,178,176,173,364,0,0,0,0,0,191
batch,20261000094,Round Robin,Round Robin,1,0.0,0.08449999586446211,0.26987220447284344,0.22475840884292422,0.21566065723413969,0.14582382473756278,0.2826335006846189,0.7553571428571428,179,178,172,175,176,372,0,0,0,0,0,197
batch,20261000095,Round Robin,Round Robin,1,0.0,0.06191700231283903,0.21648012691094143,0.18634564643799473,0.24035893023522248,0.13336287106778907,0.29497120070890565,0.7513192612137203,170,172,189,172,200,383,0,0,0,0,0,208
batch,20261000096,Round Robin,Round Robin,1,0.0,0.060708000091835856,0.23575269901242146,0.1928665131210855,0.21164770817887876,0.14707149009474588,0.30103359173126615,0.7596038415366146,181,183,183,181,185,387,0,0,0,0,0,204
batch,20261000097,Round Robin,Round Robin,1,0.0,0.060208003560546786,0.2508483503756357,0.1853524772128435,0.14582129043717892,0.13667271078875792,0.32275611967361745,0.7511325028312571,190,184,179,181,203,401,0,0,0,0,0,211
batch,20261000098,Round Robin,Round Robin,1,0.0,0.06749999738531187,0.24552746631032002,0.22131680893910105,0.2372420747174777,0.14766131785592357,0.29694434960737454,0.7610030706243602,223,224,220,224,246,473,0,0,0,0,0,253
batch,20261000099,Round Robin,Round Robin,1,0.0,0.08687499939696863,0.19711538461538464,0.16517857142857145,0.1991016919588348,0.14129273504273504,0.32211538461538464,0.7603021978021978,141,143,145,141,167,318,0,0,0,0,0,175
batch,20261000100,Round Robin,Round Robin,1,0.0,0.06591699639102444,0.20560321453116276,0.18209054593874835,0.18183651636527642,0.13482862903225803,0.2998991935483871,0.7599866844207723,146,146,151,146,170,319,0,0,0,0,0,173
batch,20261000101,Round Robin,Round Robin,1,0.0,0.0638330020592548,0.2654848275827346,0.2369127516778524,0.282189613859161,0.14347336834208552,0.25724686205108327,0.7543624161073825,208,200,204,203,208,437,0,0,0,0,0,237
batch,20261000102,Round Robin,Round Robin,1,0.0,0.0625000029685907,0.30678973717146435,0.22918538507934524,0.1659105131414268,0.14987484355444303,0.2940852794103228,0.7672872340425532,139,138,134,136,142,294,0,0,0,0,0,155
batch,20261000103,Round Robin,Round Robin,1,0.0,0.127042003441602,0.28144953927095967,0.2511159148273056,0.2255111245502157,0.15208136234626302,0.2682119205298013,0.7731191222570533,175,172,177,168,175,370,0,0,0,0,0,198
batch,20261000104,Round Robin,Round Robin,1,0.0,0.0625829998170957,0.3026492462138709,0.171069587628866,0.2049635514432007,0.13918017159199234,0.33398903321448603,0.7673969072164948,175,160,182,161,179,345,0,0,0,0,0,185
batch,20261000105,Round Robin,Round Robin,1,0.0,0.060957994719501585,0.24781419400764598,0.2074898733443259,0.22097893637124835,0.14493791786055396,0.2915472779369628,0.7634048257372654,157,161,170,159,172,338,0,0,0,0,0,177
batch,20261000106,Round Robin,Round Robin,1,0.0,0.05987499753246084,0.2825036897893466,0.19077103605060217,0.22568635082125418,0.15063924402445802,0.31027656886862065,0.7593703148425788,144,144,157,141,148,299,0,0,0,0,0,153
batch,20261000107,Round Robin,Round Robin,1,0.0,0.06708299770252779,0.2725640235630625,0.22486595174262736,0.26964278323729995,0.14815608919382503,0.2787307032590052,0.756367292225201,175,170,188,170,175,364,0,0,0,0,0,189
