process_count,arrival_rate,burst_mean,burst_variance,short_job_ratio,priority_mean,priority_variance,io_frequency,io_cpu_ratio,profile,seed,label,score_fcfs,score_sjf,score_srtf,score_round_robin,score_priority,score_priority_rr
12.0,1.0,8.333333333333334,7.722222222222222,1.0,3.9166666666666665,1.0763888888888888,2.5833333333333335,1.71,interactive,420000027,FCFS,0.1203351014803529,0.3038419913419913,0.2416096616903569,0.12157287157287161,0.2983095168849359,0.8463687150837989
12.0,0.6666666666666666,7.833333333333333,23.305555555555557,1.0,3.1666666666666665,2.9722222222222223,2.1666666666666665,1.2446808510638299,interactive,420000028,Round Robin,0.16501079383769993,0.20795105809980446,0.2503250482218075,0.1527671303382048,0.3909957927883747,0.8322784810126582
12.0,1.0909090909090908,9,8.833333333333334,1.0,3,2.6666666666666665,2.9166666666666665,1.4351851851851851,interactive,420000029,Round Robin,0.11422614678364618,0.21434490939631537,0.16085380240559985,0.08899297423887588,0.3232771679466784,0.7947761194029851
12.0,1.5,7.666666666666667,15.555555555555555,1.0,2.5833333333333335,2.2430555555555554,2.0833333333333335,1.2717391304347827,interactive,420000030,Round Robin,0.18915392531608352,0.2109480418111133,0.17030594491267823,0.1304595623674571,0.31257868965978525,0.782122905027933
12.0,0.8571428571428571,9.083333333333334,9.243055555555555,1.0,3.0833333333333335,2.576388888888889,2.9166666666666665,1.6422018348623852,interactive,420000031,SRTF,0.13335133351333514,0.2120597854016396,0.11154111541115411,0.11585365853658537,0.3166841691633464,0.8154981549815499
12.0,1.0,9,11,1.0,2.75,2.1875,2.5833333333333335,1.4722222222222223,interactive,420000032,Round Robin,0.12766905894019528,0.26247482336094813,0.16667310042199515,0.11676159479251425,0.3206095322696513,0.8056640625
12.0,1.2,8.5,8.916666666666666,1.0,3.5,2.4166666666666665,2.3333333333333335,1.5392156862745099,interactive,420000033,SRTF,0.14807476575173315,0.23571864962994002,0.07369802909854777,0.1283838779590924,0.287315576733173,0.8110599078341014
12.0,1.3333333333333333,8.083333333333334,9.409722222222221,1.0,3.4166666666666665,1.4097222222222223,2.1666666666666665,1.3917525773195876,interactive,420000034,SRTF,0.21863654699475596,0.18836524049321451,0.09798571663481806,0.1381531228470004,0.29774774774774776,0.835820895522388
12.0,1.0,10.583333333333334,12.909722222222221,1.0,2.1666666666666665,1.9722222222222223,3,1.4330708661417322,interactive,420000035,SRTF,0.11556552323289537,0.24164559877750058,0.08060710554213917,0.1232064878353088,0.36416186346609497,0.7891104294478528
12.0,0.9230769230769231,10.166666666666666,11.63888888888889,1.0,2.5,1.4166666666666667,2.9166666666666665,1.4098360655737705,interactive,420000036,Round Robin,0.14554320987654318,0.21421082695241608,0.20404022740712213,0.102,0.3190137741046832,0.8004115226337449
12.0,1.0,9.5,10.916666666666666,1.0,3,2.6666666666666665,2.9166666666666665,1.5701754385964912,interactive,420000037,Round Robin,0.15798549276810145,0.219433465085639,0.24542920847268673,0.12564102564102564,0.32367605072523103,0.7974308300395256
12.0,1.5,8.083333333333334,16.57638888888889,1.0,3.4166666666666665,1.2430555555555556,2.5,1.6082474226804124,interactive,420000038,Round Robin,0.14532115601010512,0.21098293357691442,0.16391163011547152,0.11348475433774656,0.35153913100252554,0.8199481865284974
12.0,1.0909090909090908,7.75,10.854166666666666,1.0,2.9166666666666665,2.076388888888889,2.4166666666666665,1.6021505376344085,interactive,420000039,SRTF,0.10677432681461814,0.13470042996569476,0.07757915127224721,0.1188228754012249,0.3457413200882863,0.8033175355450237
12.0,0.8571428571428571,9.583333333333334,12.909722222222221,1.0,3.6666666666666665,1.8888888888888888,2.75,1.2608695652173914,interactive,420000040,Round Robin,0.1642817376781085,0.2245967846745685,0.14001983333043372,0.1254980079681275,0.31112595622353195,0.8231441048034935
12.0,1.5,9.5,9.916666666666666,1.0,3,2,2.9166666666666665,1.8245614035087718,interactive,420000041,Round Robin,0.12828654188948307,0.24286121147023404,0.10212423353179657,0.10110294117647059,0.36790528711484594,0.7780303030303031
12.0,1.0,10.333333333333334,12.88888888888889,1.0,2.9166666666666665,2.9097222222222223,3.0833333333333335,1.596774193548387,interactive,420000042,SRTF,0.1326619344532619,0.20311145931157984,0.08719661610169431,0.11867693570674372,0.3093173017109967,0.8003194888178914
12.0,0.8571428571428571,9.25,4.1875,1.0,2.8333333333333335,2.4722222222222223,2.9166666666666665,1.6666666666666667,interactive,420000043,SRTF,0.12954454835435697,0.16526082810665693,0.06542699724517904,0.13214984775989558,0.27941176470588236,0.8001644736842105
12.0,0.75,8.333333333333334,15.055555555555555,1.0,2.8333333333333335,1.8055555555555556,2.3333333333333335,1.46,interactive,420000044,SRTF,0.16519050004771446,0.17497939441263227,0.04458917835671342,0.11866292108025575,0.2844933958075579,0.8214285714285714
12.0,0.8,8.333333333333334,11.88888888888889,1.0,3.0833333333333335,1.4097222222222223,2.4166666666666665,1.51,interactive,420000045,Round Robin,0.13080540345737568,0.2874538919890286,0.12946837052696908,0.09519408502772642,0.3210627458468972,0.8128930817610063
12.0,0.8571428571428571,8.333333333333334,13.055555555555555,1.0,2.5,1.9166666666666667,2.6666666666666665,1.64,interactive,420000046,Round Robin,0.18952264958139725,0.2835710772257747,0.28695196819801116,0.1184207912951988,0.3450730345066897,0.8231292517006803
12.0,0.6666666666666666,9,18,1.0,4.25,1.3541666666666667,2.5,1.4259259259259258,interactive,420000047,Round Robin,0.15926033732232123,0.27316058002148236,0.17406709897292866,0.11383116342006373,0.3251612503100968,0.8982758620689655
12.0,1.3333333333333333,9.666666666666666,6.388888888888889,1.0,2.8333333333333335,2.3055555555555554,2.3333333333333335,1.0948275862068966,interactive,420000048,Round Robin,0.17704184198223472,0.21355012158787903,0.16965287517531558,0.11806451612903227,0.3154510284171561,0.7509057971014492
12.0,1.0909090909090908,7.166666666666667,9.472222222222221,1.0,2.4166666666666665,2.2430555555555554,2.0833333333333335,1.6046511627906976,interactive,420000049,SRTF,0.14640841434743931,0.19927548054105362,0.09323929342991485,0.12211004175108986,0.359581518954918,0.7906976744186047
12.0,1.0,7.166666666666667,9.972222222222221,1.0,2.3333333333333335,1.8888888888888888,2.0833333333333335,1.4767441860465116,interactive,420000050,SRTF,0.18601332700623574,0.22000132795196606,0.12703931934688314,0.130525265585069,0.3440365058389142,0.7786624203821656
12.0,0.7058823529411765,8.25,13.854166666666666,1.0,3.4166666666666665,2.4097222222222223,2.3333333333333335,1.4242424242424243,interactive,420000051,Round Robin,0.11592147222960407,0.20131840875340504,0.14114711243883263,0.10703425921888399,0.3949593424056329,0.7995283018867925
